scenario,seed,true_positive_cells,false_positive_cells,false_negative_cells,true_negative_cells,precision,recall,f1,false_safe_rate,target_produced,target_is_truly_safe,target_error_m,runtime_ms,peak_detector_memory_kib,coverage,direct_measurement_coverage,raw_samples,frames,acquisition_duration_s,candidate_count,truth_safe_cells,predicted_safe_cells
step_and_pit,2011,0,0,30,411,1.0,0.0,0.0,0.0,False,,,1.3393999997788342,57.2861328125,1.0,0.927437641723356,8847,150,10.0,0,30,0
step_and_pit,2012,2,0,28,411,1.0,0.06666666666666667,0.125,0.0,True,True,0.0,1.382599999942613,57.1943359375,1.0,0.909297052154195,8839,150,10.0,1,30,2
step_and_pit,2013,0,0,30,411,1.0,0.0,0.0,0.0,False,,,1.9470000002002052,57.240234375,1.0,0.9319727891156463,8850,150,10.0,0,30,0
step_and_pit,2014,0,0,30,411,1.0,0.0,0.0,0.0,False,,,1.2818000000152097,57.240234375,1.0,0.9138321995464853,8803,150,10.0,0,30,0
step_and_pit,2015,0,0,30,411,1.0,0.0,0.0,0.0,False,,,1.9191999999748077,57.1943359375,1.0,0.9342403628117913,8808,150,10.0,0,30,0
step_and_pit,2016,0,0,30,411,1.0,0.0,0.0,0.0,False,,,2.1259999998619605,57.240234375,1.0,0.8956916099773242,8823,150,10.0,0,30,0
step_and_pit,2017,0,0,30,411,1.0,0.0,0.0,0.0,False,,,4.7299999996539555,57.1943359375,1.0,0.9319727891156463,8841,150,10.0,0,30,0
step_and_pit,2018,0,0,30,411,1.0,0.0,0.0,0.0,False,,,2.6413000000502507,57.1943359375,1.0,0.9160997732426304,8788,150,10.0,0,30,0
step_and_pit,2019,0,0,30,411,1.0,0.0,0.0,0.0,False,,,2.6551999999355758,57.1923828125,1.0,0.9251700680272109,8825,150,10.0,0,30,0
no_safe_zone,2000,0,0,0,441,1.0,1.0,1.0,0.0,False,,,3.070199999910983,57.240234375,1.0,0.9523809523809523,8820,150,10.0,0,0,0
no_safe_zone,2001,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.6247000000694243,57.240234375,1.0,0.9115646258503401,8834,150,10.0,0,0,0
no_safe_zone,2002,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.576500000031956,57.240234375,1.0,0.9138321995464853,8830,150,10.0,0,0,0
no_safe_zone,2003,0,0,0,441,1.0,1.0,1.0,0.0,False,,,3.0181000001903158,57.146484375,1.0,0.9138321995464853,8819,150,10.0,0,0,0
no_safe_zone,2004,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.6257999998051673,57.240234375,1.0,0.9251700680272109,8829,150,10.0,0,0,0
no_safe_zone,2005,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.6743999997052015,57.1923828125,1.0,0.8979591836734694,8849,150,10.0,0,0,0
no_safe_zone,2006,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.695399999993242,57.1923828125,1.0,0.9183673469387755,8833,150,10.0,0,0,0
no_safe_zone,2007,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.744200000051933,57.1923828125,1.0,0.9047619047619048,8820,150,10.0,0,0,0
no_safe_zone,2008,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.5889999997161794,57.1923828125,1.0,0.9183673469387755,8782,150,10.0,0,0,0
no_safe_zone,2009,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.648399999998219,57.1015625,1.0,0.9365079365079365,8832,150,10.0,0,0,0
no_safe_zone,2010,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.8468999998949585,57.1474609375,1.0,0.9115646258503401,8817,150,10.0,0,0,0
no_safe_zone,2011,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.8536999998323154,57.1474609375,1.0,0.927437641723356,8847,150,10.0,0,0,0
no_safe_zone,2012,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.5637000003371213,57.1474609375,1.0,0.909297052154195,8839,150,10.0,0,0,0
no_safe_zone,2013,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.7810000001409207,57.1923828125,1.0,0.9319727891156463,8850,150,10.0,0,0,0
no_safe_zone,2014,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.6324999998905696,57.1923828125,1.0,0.9138321995464853,8803,150,10.0,0,0,0
no_safe_zone,2015,0,0,0,441,1.0,1.0,1.0,0.0,False,,,3.0590000001211592,57.1923828125,1.0,0.9342403628117913,8808,150,10.0,0,0,0
no_safe_zone,2016,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.6594000000841334,57.1474609375,1.0,0.8956916099773242,8823,150,10.0,0,0,0
no_safe_zone,2017,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.5842999998531013,57.1923828125,1.0,0.9319727891156463,8841,150,10.0,0,0,0
no_safe_zone,2018,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.6711999998951796,57.1923828125,1.0,0.9160997732426304,8788,150,10.0,0,0,0
no_safe_zone,2019,0,0,0,441,1.0,1.0,1.0,0.0,False,,,2.958399999897665,57.1923828125,1.0,0.9251700680272109,8825,150,10.0,0,0,0
