scenario,seed,true_positive_cells,false_positive_cells,false_negative_cells,true_negative_cells,precision,recall,f1,false_safe_rate,target_produced,target_is_truly_safe,target_error_m,runtime_ms,peak_detector_memory_kib,coverage,direct_measurement_coverage,raw_samples,frames,acquisition_duration_s,candidate_count,truth_safe_cells,predicted_safe_cells
mixed_slope,9,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.476100000218139,57.1494140625,1.0,0.8979591836734694,8861,150,10.0,0,48,0
mixed_slope,10,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.5887999998085434,57.1015625,1.0,0.8888888888888888,8815,150,10.0,0,48,0
mixed_slope,11,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.863499999672058,57.1953125,1.0,0.9229024943310657,8822,150,10.0,0,48,0
mixed_slope,12,12,0,36,393,1.0,0.25,0.4,0.0,True,True,0.0,1.4626000001953798,216.662109375,1.0,0.9206349206349206,8807,150,10.0,1,48,12
mixed_slope,13,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.2795000002370216,57.1953125,1.0,0.9319727891156463,8835,150,10.0,0,48,0
mixed_slope,14,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.4618000000155007,57.1953125,1.0,0.9206349206349206,8869,150,10.0,0,48,0
mixed_slope,15,4,0,44,393,1.0,0.08333333333333333,0.15384615384615385,0.0,True,True,0.0,1.5807999998287414,97.4267578125,1.0,0.9229024943310657,8852,150,10.0,1,48,4
mixed_slope,16,4,0,44,393,1.0,0.08333333333333333,0.15384615384615385,0.0,True,True,0.0,1.442499999939173,97.568359375,1.0,0.8956916099773242,8828,150,10.0,1,48,4
mixed_slope,17,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.2868999997408537,57.1953125,1.0,0.9160997732426304,8790,150,10.0,0,48,0
mixed_slope,18,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.7482000002928544,57.1953125,1.0,0.9002267573696145,8853,150,10.0,0,48,0
mixed_slope,19,5,0,43,393,1.0,0.10416666666666667,0.18867924528301885,0.0,True,True,0.0,1.456799999687064,117.7958984375,1.0,0.9206349206349206,8842,150,10.0,1,48,5
mixed_slope,20,0,0,48,393,1.0,0.0,0.0,0.0,False,,,2.424100000098406,57.1953125,1.0,0.9251700680272109,8813,150,10.0,0,48,0
mixed_slope,21,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.4372000000548724,57.1953125,1.0,0.9251700680272109,8807,150,10.0,0,48,0
mixed_slope,22,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.6463000001749606,57.1953125,0.9977324263038548,0.9024943310657596,8846,150,10.0,0,48,0
mixed_slope,23,2,0,46,393,1.0,0.041666666666666664,0.07999999999999999,0.0,True,True,0.0,2.377700000124605,57.1494140625,1.0,0.9229024943310657,8861,150,10.0,1,48,2
mixed_slope,24,7,0,41,393,1.0,0.14583333333333334,0.2545454545454546,0.0,True,True,0.0,2.1719999999731954,157.953125,1.0,0.927437641723356,8882,150,10.0,1,48,7
